Metric,System Boundary,Source Category,Source Detail,CO2_fossil,CO2_biogenic,CH4_fossil,CH4_biogenic,N2O,NF3,SF6,MJ,Unit,Subregion,MJ/unit,Notes,Nprop,P fraction,P2O5 fraction,S fraction,NO3 fraction,NH4 fraction,Urea fraction,NH3 fraction,Ca fraction,K fraction,FR_sn
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),456.4947131,NA,0.418323474,0.001284941,0.007655046,1.85e-9,9.35e-7,0,MWh,MROW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),266.3577784,NA,0.406294275,0.01092986,0.005126817,1.71e-9,9.07e-8,0,MWh,NEWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),297.2361806,NA,0.309088668,0.001662574,0.004250472,1.56e-9,2.57e-7,0,MWh,NWPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),433.252093,NA,0.683698871,0.004392971,0.001767347,5.47e-11,3.43e-10,0,MWh,NYCW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),585.9317223,NA,0.667713399,0.013916196,0.009984652,1.1e-9,1.4e-9,0,MWh,NYLI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),139.0713633,NA,0.213803592,0.003033785,0.001427835,9.45e-10,1.23e-7,0,MWh,NYUP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),737.4519984,NA,0.550660591,0.00236917,0.006679124,7.98e-10,2.24e-8,0,MWh,PRMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),322.213349,NA,0.443873693,0.002940472,0.003298623,4.69e-10,2.41e-8,0,MWh,RFCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),590.9693247,NA,0.627656751,0.002960003,0.008409509,7.63e-10,2.22e-7,0,MWh,RFCM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),486.0904152,NA,0.521207941,0.001859391,0.006145415,4.53e-10,1.42e-7,0,MWh,RFCW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),547.2036098,NA,0.510714838,0.001528428,0.00705596,2.61e-9,6.48e-7,0,MWh,RMPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),463.7984985,NA,0.426576499,0.001028211,0.007023915,1.45e-9,9.47e-7,0,MWh,SPNO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),473.5587985,NA,0.497966005,0.002827826,0.005381156,1.28e-9,7.39e-7,0,MWh,SPSO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),391.7719619,NA,0.548574607,0.003372924,0.00338038,2.46e-10,6.51e-10,0,MWh,SRMV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),663.2364757,NA,0.632650068,9.61e-4,0.010938743,9.53e-10,2.57e-7,0,MWh,SRMW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),436.8507467,NA,0.54562209,0.004796316,0.00543604,1.53e-9,1.32e-9,0,MWh,SRSO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),453.8107203,NA,0.485311765,0.001885547,0.006143663,3.4e-10,7.38e-10,0,MWh,SRTV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHG Emissions,Upstream,GHG emissions associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),306.5807928,NA,0.394709867,0.003487769,0.004097228,2.62e-9,1.29e-8,0,MWh,SRVC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Crop Drying | Electricity (grid),0,NA,0,0,0,0,0,20168.08442,MWh,AKGD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Crop Drying | Electricity (grid),0,NA,0,0,0,0,0,12721.68093,MWh,AKMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Crop Drying | Electricity (grid),0,NA,0,0,0,0,0,20231.40153,MWh,AZNM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Crop Drying | Electricity (grid),0,NA,0,0,0,0,0,20202.42844,MWh,CAMX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
