Energy Source,Average Energy Content (BTU),Average Energy Content (hp-hr),Pumping Plant Performance Criteria (whp-hr/unit),Motor efficiency (%),Source
1 gallon of diesel fuel,"138,690",54.5,12.5,31,Martin et al 2011 Table 1
1 gallon of gasoline,"125,000",49.1,8.66,23,Martin et al 2011 Table 1
1 gallon of liquefied petroleum gas (LPG),"95,475",37.5,6.89,25,Martin et al 2011 Table 1
1 thousand cubic foot of natural gas,"1,020,000",401,61.7,21,Martin et al 2011 Table 1
1 therm of natural gas,"100,000",39.3,6.05,21,Martin et al 2011 Table 1
1 gallon of ethanol T,"84,400",33.2,5.85,X,Martin et al 2011 Table 1
"1 gallon of gasohol (10% ethanol, 90% gasoline)","120,000",47.2,8.31,X,Martin et al 2011 Table 1
1 kilowatt-hour of electrical energy,"3,412",1.34,0.885,88,Martin et al 2011 Table 1
