Designation,Total Solids (as-received),Notes,Updated,Author
Liquid,1-4 %,"Adapted from Lorimor et al., 2004 in Appendix A of Wilson et al 2022 Recommended Methdos of Manure Analysis, Second Edition.",2024-04-17,Austin
Slurry,4-10 %,Used by ManureDB,,
Semi-Solid,10-20 %,,,
Solid,>20 %,,,
